index,solved,clues_consistent,converged,iterations,runtime_sec
0,1.0,1.0,1.0,23.0,7.703713722992688
1,1.0,1.0,1.0,127.0,46.5679189950024
2,0.0,1.0,1.0,61.0,24.509332729998278
3,1.0,1.0,1.0,79.0,31.181310439002118
4,1.0,1.0,1.0,81.0,31.248293070995715
5,1.0,1.0,1.0,50.0,18.101475641000434
6,1.0,1.0,1.0,56.0,20.072986641986063
7,0.0,1.0,1.0,76.0,27.84962043800624
8,1.0,1.0,1.0,72.0,27.73180065699853
9,1.0,1.0,1.0,68.0,26.53860805100703
10,1.0,1.0,1.0,43.0,15.633018011008971
11,1.0,1.0,1.0,34.0,12.2206815519894
12,1.0,1.0,1.0,123.0,45.61361572799797
13,0.0,1.0,1.0,75.0,30.03674103600497
14,0.0,1.0,1.0,68.0,24.70945118300733
15,1.0,1.0,1.0,84.0,28.207892471007654
16,0.0,1.0,1.0,69.0,24.935125023999717
17,0.0,1.0,1.0,77.0,29.312745568997343
18,1.0,1.0,1.0,58.0,21.47875241500151
19,1.0,1.0,1.0,41.0,15.07364964298904
20,1.0,1.0,1.0,53.0,18.689808351002284
21,0.0,1.0,1.0,63.0,23.48550983199675
22,1.0,1.0,1.0,53.0,19.127296986000147
23,1.0,1.0,1.0,97.0,35.49902160199417
24,1.0,1.0,1.0,120.0,44.19055902499531
25,1.0,1.0,1.0,46.0,16.211851847008802
26,1.0,1.0,1.0,76.0,26.309373427997343
27,0.0,1.0,1.0,52.0,18.89089334999153
28,1.0,1.0,0.0,150.0,56.67121318199497
29,1.0,1.0,1.0,49.0,16.668995664003887
30,1.0,1.0,1.0,139.0,50.15161593600351
31,1.0,1.0,1.0,49.0,19.819115266000153
32,1.0,1.0,1.0,37.0,14.318563970009563
33,1.0,1.0,1.0,89.0,32.518033346990705
34,0.0,1.0,1.0,108.0,42.235282768000616
35,1.0,1.0,1.0,74.0,29.792524596996373
36,1.0,1.0,1.0,93.0,33.74904479799443
37,1.0,1.0,1.0,49.0,17.711201454992988
38,1.0,1.0,1.0,114.0,42.64805165199505
39,1.0,1.0,1.0,23.0,8.630594817004749
40,1.0,1.0,1.0,81.0,33.20151759700093
41,1.0,1.0,1.0,73.0,27.753107183991233
42,1.0,1.0,1.0,78.0,30.664806319997297
43,1.0,1.0,1.0,78.0,28.23864130800939
44,0.0,1.0,1.0,44.0,17.346525425993605
45,1.0,1.0,1.0,57.0,22.692347360003623
46,1.0,1.0,1.0,33.0,12.852756777996547
47,1.0,1.0,1.0,33.0,12.904933095007436
48,1.0,1.0,1.0,54.0,20.445445097997435
49,1.0,1.0,1.0,46.0,16.05685841900413
50,0.0,1.0,1.0,38.0,14.494804804999148
51,0.0,1.0,1.0,44.0,17.523443874000804
52,0.0,1.0,1.0,69.0,27.915335712998058
53,1.0,1.0,1.0,53.0,20.90367560699815
54,1.0,1.0,1.0,37.0,13.669802083997638
55,1.0,1.0,1.0,89.0,33.64634286300861
56,1.0,1.0,1.0,73.0,29.021063514999696
57,1.0,1.0,1.0,69.0,27.58955980700557
58,0.0,1.0,1.0,52.0,20.164178282007924
59,1.0,1.0,1.0,34.0,13.4621562550019
60,1.0,1.0,1.0,68.0,26.320948576001683
61,1.0,1.0,1.0,45.0,17.86874495599477
62,1.0,1.0,1.0,58.0,23.089882831991417
63,1.0,1.0,1.0,70.0,27.213022764000925
64,0.0,1.0,1.0,39.0,15.223307125997962
65,0.0,1.0,1.0,31.0,11.937009006011067
66,1.0,1.0,1.0,71.0,26.790607799004647
67,1.0,1.0,1.0,61.0,22.831080333999125
68,0.0,1.0,1.0,47.0,18.639908835000824
69,1.0,1.0,1.0,98.0,36.568192845996236
70,1.0,1.0,1.0,58.0,21.623735347995535
71,1.0,1.0,1.0,33.0,12.040919691004092
72,1.0,1.0,1.0,44.0,15.017525098999613
73,1.0,1.0,1.0,103.0,39.73830851299863
74,0.0,1.0,1.0,61.0,23.24575884200749
75,1.0,1.0,1.0,57.0,20.602626296007656
76,0.0,1.0,1.0,68.0,23.827379088004818
77,0.0,1.0,1.0,62.0,23.07067775799078
78,1.0,1.0,1.0,65.0,25.38480987600633
79,1.0,1.0,1.0,147.0,54.66066522500478
80,0.0,1.0,1.0,45.0,13.64226642799622
81,1.0,1.0,1.0,73.0,23.24038308400486
82,1.0,1.0,1.0,23.0,6.549520362008479
83,0.0,1.0,1.0,41.0,11.80661463701108
84,1.0,1.0,1.0,33.0,9.335716689995024
85,0.0,1.0,1.0,122.0,32.38362641900312
86,0.0,1.0,1.0,56.0,15.50673815200571
87,1.0,1.0,1.0,75.0,20.55593180700089
88,0.0,1.0,1.0,60.0,17.169652488999418
89,0.0,1.0,1.0,83.0,26.130881304998184
90,1.0,1.0,1.0,86.0,32.027645991998725
91,0.0,1.0,1.0,48.0,17.751075272011803
92,1.0,1.0,1.0,51.0,18.07572560699191
93,1.0,1.0,1.0,40.0,14.44971942200209
94,0.0,1.0,1.0,65.0,21.756176826995215
95,1.0,1.0,1.0,78.0,24.21136223699432
96,1.0,1.0,1.0,68.0,22.575471601012396
97,1.0,1.0,1.0,60.0,19.579635684000095
98,0.0,1.0,1.0,49.0,15.402230526000494
99,1.0,1.0,1.0,82.0,25.45229315100005
